Current State,Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
District of Columbia ,2010,149,577,662,1,522,177,595,-432,0,-10,-111,0,-144,-432,530,339,83,-53,-264,21,-9699,-163,-345,-219,0,-206,0,62,0,-161,1493,5,1869,206,-77,-374,0,384,757,103,342,0,197,720,-138,190,-2678,41,380,293,0
Florida,2010,768,3572,-3805,33,1768,-2421,1976,737,10,0,-14286,-2578,272,9381,3534,1557,1273,-3798,-2162,2472,6677,2782,9713,2864,3115,-333,-1035,-231,3471,1986,12503,-2359,24458,-9875,302,4552,-1972,-618,1723,646,-5301,179,-1286,-2629,736,-621,1915,-1805,3792,3589,-205
Georgia,2010,-7804,2394,-1707,-3322,89,-3221,1871,252,111,14286,0,-973,101,2955,1026,123,-561,128,-2121,-844,1928,2501,2944,-607,-1634,580,6,-1054,-32,162,-437,-1151,4796,-582,-799,-179,-1089,155,1650,-339,-1924,533,3380,-5247,-586,-135,-3534,1388,-127,1760,-643
Hawaii,2010,482,-962,-568,-129,3149,-1282,125,0,0,2578,973,0,-81,-509,-75,-798,259,-425,-254,27,568,601,314,249,-42,-210,150,-257,-2438,445,58,-111,1080,-57,16,189,-716,-489,221,370,-491,192,-101,2976,-465,-49,297,-1541,483,618,-7
Idaho,2010,72,2369,939,-573,3213,533,-147,0,144,-272,-101,81,0,-144,-640,458,24,244,-143,202,-313,36,361,234,-84,-405,51,-127,424,43,6,-61,-43,-590,27,-239,100,-927,-208,0,-233,-161,820,-287,322,0,-548,-1785,45,-669,468
Illinois,2010,-1106,1376,-6329,-2027,-277,-3100,-1127,-556,432,-9381,-2955,509,144,0,-6032,-7875,-973,-1738,-712,-256,-1315,-31,1214,-2341,-1937,-4574,-166,-1274,830,-644,-325,470,1946,-153,1073,-1989,-1220,-341,700,-372,-2688,212,837,-7924,-1173,-110,-3745,-2289,456,-4935,171
Indiana,2010,-2443,168,-480,826,2409,-1934,-530,0,-530,-3534,-1026,75,640,6032,0,175,38,-1263,-199,-229,1210,-1788,1545,-204,-1133,542,-87,66,-512,91,1474,-277,67,-1304,-45,3834,-276,106,650,-32,-1590,-223,-1671,-650,-73,45,781,-1341,303,-801,281
Iowa,2010,-339,257,-1525,162,-316,414,6,0,-339,-1557,-123,798,-458,7875,-175,0,-355,-322,-310,-337,-26,-118,681,2616,3,1323,667,-753,80,272,140,492,-204,46,312,-638,-429,910,151,-48,-112,-1528,565,185,-337,-46,-832,-1147,0,405,-351
Kansas,2010,-605,944,303,-2015,2268,1714,85,210,-83,-1273,561,-259,-24,973,-38,355,0,-61,184,-56,588,100,166,495,-163,-43,229,194,865,19,1301,122,1201,-1109,111,493,2544,-164,-863,39,-377,-219,-1354,-2381,-61,75,-455,-519,-161,481,41
Kentucky,2010,194,1577,893,-1982,385,-1632,298,-125,53,3798,-128,425,-244,1738,1263,322,61,0,-1219,-484,999,696,2319,528,1035,601,-321,705,-493,0,1056,-617,1253,-661,-97,6439,276,181,943,289,-925,81,-35,605,670,349,1620,-170,1446,1706,-227
Louisiana,2010,3839,1404,-54,-1630,2762,247,89,0,264,2162,2121,254,143,712,199,310,-184,1219,0,47,-413,995,-41,50,-358,614,-45,30,819,443,-78,229,840,-737,64,357,-1134,281,725,0,-929,-129,-749,-5015,427,0,-870,498,150,-94,-76
Maine,2010,305,-150,13,67,-730,-54,833,-120,-21,-2472,844,-27,-202,256,229,337,56,484,-47,0,190,-1145,-523,-81,0,30,199,204,345,816,807,140,69,-1258,55,24,-174,0,-1246,-68,-455,0,165,-860,242,-404,-840,-336,0,-448,500
Maryland,2010,925,1968,-160,-33,-2420,969,72,3371,9699,-6677,-1928,-568,313,1315,-1210,26,-588,-999,413,-190,0,-1677,2952,-439,-246,-212,35,-23,494,1320,4827,-1730,4824,-4094,-121,-551,225,128,-4814,-195,-3474,49,1219,1159,229,50,-57,913,114,-764,179
Massachusetts,2010,148,1784,123,16,3002,-1191,4760,-558,163,-2782,-2501,-601,-36,31,1788,118,-100,-696,-995,1145,1677,0,418,1093,346,562,329,-54,-483,-3841,2083,-1915,3147,-1254,-52,-1523,-307,-1243,861,-1674,-2106,-407,-815,-66,-39,-2073,438,179,-191,-446,-252
Michigan,2010,69,117,-3157,-870,-3709,-2556,-493,106,345,-9713,-2944,-314,-361,-1214,-1545,-681,-166,-2319,41,523,-2952,-418,0,-1356,-1839,311,-336,-513,-328,207,606,-791,-1644,-3345,-245,-5347,1229,-622,-1827,576,-2263,562,-1076,-6591,284,-156,-3660,-1444,-211,-26,-2
Minnesota,2010,-120,639,-1256,57,1138,-357,-723,121,219,-2864,607,-249,-234,2341,204,-2616,-495,-528,-50,81,439,-1093,1356,0,-667,-152,-303,-1520,-265,-57,191,-28,-340,-166,-5034,-1263,-315,70,-761,76,779,-1378,-349,-3469,99,-85,1909,5,200,1188,125
Mississippi,2010,1073,929,-85,2177,243,-110,4,0,0,-3115,1634,42,84,1937,1133,-3,163,-1035,358,0,246,-346,1839,667,0,-224,72,-823,-538,-25,-47,-86,154,1040,0,1223,-1070,-735,187,145,685,-145,-871,-2018,105,0,-1286,-229,50,69,490
Missouri,2010,-554,1051,-1579,-2939,2919,-75,201,-225,206,333,-580,210,405,4574,-542,-1323,43,-601,-614,-30,212,-562,-311,152,224,0,-344,-87,-687,-187,593,12,760,-107,651,992,545,-1472,-86,-47,-417,260,-1031,823,64,447,-1056,-2620,17,-385,-62
Montana,2010,-17,34,566,587,2747,143,128,-2,0,1035,-6,-150,-51,166,87,-667,-229,321,45,-199,-35,-329,336,303,-72,344,0,228,-222,-486,-122,-343,9,842,441,-371,-266,-1766,80,0,110,-265,-179,1074,-965,-236,-369,-1844,-39,203,-839
Nebraska,2010,63,-180,572,280,1368,117,361,177,-62,231,1054,257,127,1274,-66,753,-194,-705,-30,-204,23,54,513,1520,823,87,-228,0,-897,0,-118,301,-775,-74,449,-299,-127,-271,-206,0,65,676,-110,-448,419,0,249,907,73,193,-233
Nevada,2010,-115,271,-2524,463,7748,-1196,141,-106,0,-3471,32,2438,-424,-830,512,-80,-865,493,-819,-345,-494,483,328,265,538,687,222,897,0,-36,654,-2972,-873,259,-345,-686,-193,-176,-243,-130,-861,1165,-1727,-3100,-49,139,1084,-2020,31,-630,-272
New Hampshire,2010,152,-316,480,0,78,-551,2085,-139,161,-1986,-162,-445,-43,644,-91,-272,-19,0,-443,-816,-1320,3841,-207,57,25,187,486,0,36,0,-165,197,-174,-1659,0,-147,-69,191,-55,655,-435,0,175,503,279,-194,373,-21,-107,199,0
New Jersey,2010,260,-30,-157,181,-1331,-452,-972,-2135,-1493,-12503,437,-58,-6,325,-1474,-140,-1301,-1056,78,-807,-4827,-2083,-606,-191,47,-593,122,118,-654,165,0,261,6041,-4143,-144,-881,-858,69,-20231,-1536,-3774,0,-1378,-3624,-69,-694,-4155,243,-548,-46,0
New Mexico,2010,101,548,1698,77,1915,-1069,-87,332,-5,2359,1151,111,61,-470,277,-492,-122,617,-229,-140,1730,1915,791,28,86,-12,343,-301,2972,-197,-261,0,-45,607,-301,1197,-1541,678,-441,46,-1238,166,648,6759,1083,309,-808,1992,0,284,45
New York,2010,-2376,4815,-3969,73,4196,-1459,-5389,-1648,-1869,-24458,-4796,-1080,43,-1946,-67,204,-1201,-1253,-840,-69,-4824,-3147,1644,340,-154,-760,-9,775,873,174,-6041,45,0,-6084,-188,522,1180,-254,-9967,-2670,-751,-237,-3070,-6932,-552,-1156,-8644,-1637,-167,1063,5
North Carolina,2010,673,920,-1616,-1011,7106,-1098,2407,55,-206,9875,582,57,590,153,1304,-46,1109,661,737,1258,4094,1254,3345,166,-1040,107,-842,74,-259,1659,4143,-607,6084,0,-394,2676,-538,756,3544,-1279,2447,100,1583,2146,-377,-189,1833,731,473,195,836
North Dakota,2010,-60,997,-164,168,1019,71,30,0,77,-302,799,-16,-27,-1073,45,-312,-111,97,-64,-55,121,52,245,5034,0,-651,-441,-449,345,0,144,301,188,394,0,108,-31,-279,-129,-62,-118,-982,273,61,462,-30,-176,181,-268,252,-14
Ohio,2010,-933,1400,-510,-703,827,21,11,-310,374,-4552,179,-189,239,1989,-3834,638,-493,-6439,-357,-24,551,1523,5347,1263,-1223,-992,371,299,686,147,881,-1197,-522,-2676,-108,0,-157,-1199,-2533,444,-1404,47,525,-852,-1042,132,-939,-160,-111,97,88
Oklahoma,2010,732,-58,-151,-2734,3721,-280,-77,109,0,1972,1089,716,-100,1220,276,429,-2544,-276,1134,174,-225,307,-1229,315,1070,-545,266,127,193,69,858,1541,-1180,538,31,157,0,-423,62,-80,-862,-213,1203,5269,-458,93,1505,49,-8,462,1651
Oregon,2010,-85,234,-166,7,13277,-2280,-370,0,-384,618,-155,489,927,341,-106,-910,164,-181,-281,0,-128,1243,622,-70,735,1472,1766,271,176,-191,-69,-678,254,-756,279,1199,423,0,771,0,-31,619,357,-547,354,356,-1013,-3442,358,537,509
Pennsylvania,2010,-1108,2059,-1867,76,2129,-271,2052,-2710,-757,-1723,-1650,-221,208,-700,-650,-151,863,-943,-725,1246,4814,-861,1827,761,-187,86,-80,206,243,55,20231,441,9967,-3544,129,2533,-62,-771,0,-183,-3374,757,-951,617,491,-309,-1238,-398,-650,-911,974
Rhode Island,2010,136,0,-79,0,1171,-133,2362,-149,-103,-646,339,-370,0,372,32,48,-39,-289,0,68,195,1674,-576,-76,-145,47,0,0,130,-655,1536,-46,2670,1279,62,-444,80,0,183,0,-93,48,-734,-297,0,-155,-144,-60,-88,0,0
South Carolina,2010,-627,1549,-853,-1131,-325,636,2858,54,-342,5301,1924,491,233,2688,1590,112,377,925,929,455,3474,2106,2263,-779,-685,417,-110,-65,861,435,3774,1238,751,-2447,118,1404,862,31,3374,93,0,95,-949,-284,-383,344,1447,23,543,-85,162
South Dakota,2010,294,-506,-606,-182,-266,-1040,0,0,0,-179,-533,-192,161,-212,223,1528,219,-81,129,0,-49,407,-562,1378,145,-260,265,-676,-1165,0,0,-166,237,-100,982,-47,213,-619,-757,-48,-95,0,-63,-602,-875,-153,126,698,0,501,390
Tennessee,2010,1488,-134,-770,2083,3670,230,335,102,-197,1286,-3380,101,-820,-837,1671,-565,1354,35,749,-165,-1219,815,1076,349,871,1031,179,110,1727,-175,1378,-648,3070,-1583,-273,-525,-1203,-357,951,734,949,63,0,-4343,1603,-125,2808,623,1041,1975,-495
Texas,2010,2136,7490,1816,1544,32377,-5892,-963,526,-720,2629,5247,-2976,287,7924,650,-185,2381,-605,5015,860,-1159,66,6591,3469,2018,-823,-1074,448,3100,-503,3624,-6759,6932,-2146,-61,852,-5269,547,-617,297,284,602,4343,0,-1182,-513,775,-2491,1253,2888,-116
Utah,2010,-1243,524,983,-45,1534,-761,119,0,138,-736,586,465,-322,1173,73,337,61,-670,-427,-242,-229,39,-284,-99,-105,-64,965,-419,49,-279,69,-1083,552,377,-462,1042,458,-354,-491,0,383,875,-1603,1182,0,297,1454,-228,-112,-138,-1100
Vermont,2010,0,-169,-599,0,476,-24,829,87,-190,621,135,49,0,110,-45,46,-75,-349,0,404,-50,2073,156,85,0,-447,236,0,-139,194,694,-309,1156,189,30,-132,-93,-356,309,155,-344,153,125,513,-297,0,-276,-853,-208,302,-23
Virginia,2010,181,2582,394,739,2856,490,733,214,2678,-1915,3534,-297,548,3745,-781,832,455,-1620,870,840,57,-438,3660,-1909,1286,1056,369,-249,-1084,-373,4155,808,8644,-1833,176,939,-1505,1013,1238,144,-1447,-126,-2808,-775,-1454,276,0,-2893,1780,1877,-157
Washington,2010,151,3223,-6674,394,8924,-2700,-1442,-175,-41,1805,-1388,1541,1785,2289,1341,1147,519,170,-498,336,-913,-179,1444,-5,229,2620,1844,-907,2020,21,-243,-1992,1637,-731,-181,160,-49,3442,398,60,-23,-698,-623,2491,228,853,2893,0,-130,1167,82
West Virginia,2010,0,1326,-595,0,-686,-15,-358,556,-380,-3792,127,-483,-45,-456,-303,0,161,-1446,-150,0,-114,191,211,-200,-50,-17,39,-73,-31,107,548,0,167,-473,268,111,8,-358,650,88,-543,0,-1041,-1253,112,208,-1780,130,0,-106,0
Wisconsin,2010,-603,640,-3702,-303,-1525,-609,-733,351,-293,-3589,-1760,-618,669,4935,801,-405,-481,-1706,94,448,764,446,26,-1188,-69,385,-203,-193,630,-199,46,-284,-1063,-195,-252,-97,-462,-537,911,0,85,-501,-1975,-2888,138,-302,-1877,-1167,106,0,129
Wyoming,2010,145,-81,918,-443,1448,-28,-47,0,0,205,643,7,-468,-171,-281,351,-41,227,76,-500,-179,252,2,-125,-490,62,839,233,272,0,0,-45,-5,-836,14,-88,-1651,-509,-974,0,-162,-390,495,116,1100,23,157,-82,0,-129,0
Alabama,2011,0,1678,844,951,1302,-1992,2820,151,386,7428,547,-9,-126,4168,-128,-177,408,1761,-652,-8,1378,-1089,-730,204,-4977,-309,-132,601,-23,-129,1807,-291,-704,-2723,187,1029,382,-589,-257,0,-963,90,-616,-774,-186,66,5,800,-156,-291,-42
Alaska,2011,-1678,0,-2534,-370,-4260,-1608,-42,-318,5,-6217,-523,522,-4035,-3134,-190,-648,642,237,789,-37,-455,-84,-2685,-300,437,-1122,-870,-716,-65,520,-1070,-190,-5184,-3521,-393,-1318,-521,226,-381,0,-2235,-253,-143,-4178,-1489,-512,-1714,-718,-509,-409,-515
Arizona,2011,-844,2534,0,627,13985,-2149,488,-541,346,-4719,-2086,-701,-1353,2378,1880,3115,-320,316,-1166,-325,973,-274,5556,983,670,1516,460,-253,-1386,-18,-405,-2834,1059,-1738,-154,-2081,-551,-3298,1158,-142,-197,235,334,-7385,3992,-310,-2446,1543,20,2428,2141
Arkansas,2011,-951,370,-627,0,1429,-869,435,79,-81,42,-666,-229,-45,499,-654,418,1010,-845,-654,-8,-290,614,-173,-719,-584,1146,664,171,331,30,284,93,-367,1337,-35,-1778,-3133,-356,-15,0,-1098,-659,-931,-1694,-422,0,600,721,-201,352,78
California,2011,-1302,4260,-13985,-1429,0,-1989,-626,603,-557,-326,-1646,-309,-4225,6904,-2976,27,-1933,-929,-357,829,-802,-1312,4276,-951,-2631,-709,-434,-3169,-3955,675,2067,-1162,-132,-6665,36,1442,-3120,-16049,-2122,-846,-834,-282,1631,-21905,-9293,-74,-3618,-1940,-610,-969,-492
Colorado,2011,1992,1608,2149,869,1989,0,65,332,-358,-1308,925,902,-235,2756,186,619,-1312,1140,-294,1068,1507,769,-200,393,395,1408,1223,1337,1347,86,660,3272,274,837,1020,2837,551,3433,857,134,-282,319,1821,3264,-130,385,1373,1586,288,1403,-3963
Connecticut,2011,-2820,42,-488,-435,626,-65,0,-4,-374,-6933,1291,-144,133,24,-1059,-357,-396,-176,-43,-2222,-341,-754,-964,2,15,-1151,148,-319,-29,-396,1885,265,4892,-946,0,194,120,-832,-482,-1125,-755,0,-27,-1713,-164,-1497,-2821,1229,-548,-333,54
Delaware,2011,-151,318,541,-79,-603,-332,4,0,26,-454,20,-583,441,-243,131,0,-67,305,0,-238,-2414,407,43,115,0,713,-365,12,-184,-20,4197,0,2017,-566,-84,401,-39,-251,3394,131,-688,0,66,-1,475,-107,103,482,109,-164,463
District of Columbia ,2011,-386,-5,-346,81,557,358,374,-26,0,363,573,150,68,-43,128,241,-122,96,-195,-239,-4363,1372,852,42,-332,-103,38,50,-745,77,254,-212,-1389,581,285,-281,-191,-298,188,50,-232,104,114,-1193,-57,418,1121,118,-180,823,0
Florida,2011,-7428,6217,4719,-42,326,1308,6933,454,-363,0,-4008,479,-1421,1604,2877,1139,1080,-1959,901,385,7585,2305,1928,1843,-977,2601,268,2752,604,2354,12299,-1430,29944,-4061,55,1699,-3456,-69,1522,2772,-3523,615,-5040,-10245,700,1653,-1159,245,2015,3074,-679
Georgia,2011,-547,523,2086,666,1646,-925,-1291,-20,-573,4008,0,-1513,-149,38,-101,-988,3367,961,2116,-99,-3405,1172,2738,968,2244,-450,15,3710,-957,-403,4103,115,3870,2946,-163,2573,-1882,-1219,1164,-139,559,467,-609,-1641,-259,260,723,-5004,44,982,458
Hawaii,2011,9,-522,701,229,309,-902,144,583,-150,-479,1513,0,-142,615,-655,179,-162,-45,-509,-71,-829,-641,673,32,2,-563,53,-184,-2545,107,300,273,3244,501,-106,-74,545,-461,375,58,969,0,457,-3099,-661,-143,-394,-2150,165,-961,14
Idaho,2011,126,4035,1353,45,4225,235,-133,-441,-68,1421,149,142,0,-3,-1072,157,215,84,-179,0,-389,-16,-267,164,7,-176,59,-67,-348,129,-172,-214,-15,-412,-8,-52,267,934,107,-107,0,656,296,-3076,-1479,0,471,-1904,-120,-401,-1653
Illinois,2011,-4168,3134,-2378,-499,-6904,-2756,-24,243,43,-1604,-38,-615,3,0,420,-5305,-227,1296,126,18,173,516,377,-3713,-547,-6272,-461,-588,786,112,-681,1107,-502,-1914,-466,1357,-1177,-558,-890,-95,-789,1051,-5370,-4053,-496,-337,1233,1013,-979,-11014,-392
Indiana,2011,128,190,-1880,654,2976,-186,1059,-131,-128,-2877,101,655,1072,-420,0,567,458,-894,692,111,-838,312,228,382,-142,-2580,-612,7,-344,-380,-67,-1526,320,-190,-60,-479,-1269,-866,-88,8,57,-50,-1766,-3939,-422,272,-1217,-1275,6,-1094,111
Iowa,2011,177,648,-3115,-418,-27,-619,357,0,-241,-1139,988,-179,-157,5305,-567,0,61,-149,-240,-249,377,328,-22,-541,-242,-1162,-47,-3085,1895,-47,-147,421,1433,1106,396,-153,-48,152,-788,-17,-1207,-1930,236,-902,1192,38,-783,-144,115,-769,-202
Kansas,2011,-408,-642,320,-1010,1933,1312,396,67,122,-1080,-3367,162,-215,227,-458,-61,0,914,207,-42,2491,-941,799,73,1451,1149,-575,-1392,55,27,872,-564,-58,-3772,304,959,396,-978,-829,-194,-783,-40,-739,-6191,-950,-7,1094,-2048,0,475,999
Kentucky,2011,-1761,-237,-316,845,929,-1140,176,-305,-96,1959,-961,45,-84,-1296,894,149,-914,0,-121,-87,1228,839,600,-280,-378,800,216,119,730,52,1187,466,-240,2279,117,6873,-142,388,-2523,429,-1067,-211,2968,-1955,-471,-476,1524,-150,659,-459,-26
Louisiana,2011,652,-789,1166,654,357,294,43,0,195,-901,-2116,509,179,-126,-692,240,-207,121,0,-18,361,-538,208,125,3116,-353,278,-46,916,15,-418,844,-135,-802,-145,769,2301,1531,-160,147,695,37,594,4779,-315,46,-441,59,-216,-511,243
Maine,2011,8,37,325,8,-829,-1068,2222,238,239,-385,99,71,0,-18,-111,249,42,87,18,0,-1474,433,103,-25,0,34,-61,-122,101,1222,70,-366,-326,615,-31,483,-246,202,307,6,-65,42,385,280,182,290,-2285,-1225,-2,309,21
Maryland,2011,-1378,455,-973,290,802,-1507,341,2414,4363,-7585,3405,829,389,-173,838,-377,-2491,-1228,-361,1474,0,708,1042,386,844,753,16,-318,174,10,4292,-1480,4185,-3799,-10,-1586,413,-177,-3593,-275,-925,-254,807,-5824,-119,-321,38,-374,-5488,206,80
Massachusetts,2011,1089,84,274,-614,1312,-769,754,-407,-1372,-2305,-1172,641,16,-516,-312,-328,941,-839,538,-433,-708,0,-232,-108,-1089,798,586,637,-93,-3516,3657,-53,4785,-5089,-308,-344,-70,-1245,254,2467,891,-69,-1319,168,-411,-132,-2402,93,675,-292,-152
Michigan,2011,730,2685,-5556,173,-4276,200,964,-43,-852,-1928,-2738,-673,267,-377,-228,22,-799,-600,-208,-103,-1042,232,0,-2493,-895,-321,-269,-244,-448,-82,-40,-400,2151,-4125,-169,-3106,-121,-1005,-1542,207,-2298,332,-2877,-5719,-457,-335,-4996,-2290,-42,-1605,-8
Minnesota,2011,-204,300,-983,719,951,-393,-2,-115,-42,-1843,-968,-32,-164,3713,-382,541,-73,280,-125,25,-386,108,2493,0,-65,-681,488,481,1627,-83,-630,102,592,-449,-4670,173,49,387,17,-27,-24,-37,429,-4629,-20,-29,200,-130,92,1328,-133
Mississippi,2011,4977,-437,-670,584,2631,-395,-15,0,332,977,-2244,-2,-7,547,142,242,-1451,378,-3116,0,-844,1089,895,65,0,-60,0,-306,-119,-95,-241,519,-37,-790,-80,300,367,67,1330,41,-1765,-123,-1489,-805,189,0,-229,-824,303,153,-70
Missouri,2011,309,1122,-1516,-1146,709,-1408,1151,-713,103,-2601,450,563,176,6272,2580,1162,-1149,-800,353,-34,-753,-798,321,681,60,0,687,3012,1209,616,531,-167,1487,1031,647,1237,292,-395,49,250,-1255,7,-1119,-3180,1186,19,407,-789,-113,-587,879
Montana,2011,132,870,-460,-664,434,-1223,-148,365,-38,-268,-15,-53,-59,461,612,47,575,-216,-278,61,-16,-586,269,-488,0,-687,0,320,-449,-230,840,-280,31,610,-867,220,-707,880,502,0,-838,-5,223,792,-9,53,-339,1710,-46,3,1308
Nebraska,2011,-601,716,253,-171,3169,-1337,319,-12,-50,-2752,-3710,184,67,588,-7,3085,1392,-119,46,122,318,-637,244,-481,306,-3012,-320,0,208,-33,-193,-111,-35,-227,74,-908,-724,1232,-330,0,39,1304,-405,1506,539,0,359,162,-54,77,-819
Nevada,2011,23,65,1386,-331,3955,-1347,29,184,745,-604,957,2545,348,-786,344,-1895,-55,-730,-916,-101,-174,93,448,-1627,119,-1209,449,-208,0,-186,1219,37,-269,285,-845,-497,-447,-5531,-487,86,-852,478,-787,-544,-950,-15,23,-245,-293,2009,506
New Hampshire,2011,129,-520,18,-30,-675,-86,396,20,-77,-2354,403,-107,-129,-112,380,47,-27,-52,-15,-1222,-10,3516,82,83,95,-616,230,33,186,0,-205,72,-1501,-781,47,-1744,0,-229,-311,-333,216,86,-6,146,124,-106,-464,-396,-160,-480,162
New Jersey,2011,-1807,1070,405,-284,-2067,-660,-1885,-4197,-254,-12299,-4103,-300,172,681,67,147,-872,-1187,418,-70,-4292,-3657,40,630,241,-531,-840,193,-1219,205,0,110,-635,-7892,-122,-2815,382,-962,-16400,-761,-2655,-441,16,-3777,-250,-962,-2869,448,-179,-164,8
New Mexico,2011,291,190,2834,-93,1162,-3272,-265,0,212,1430,-115,-273,214,-1107,1526,-421,564,-466,-844,366,1480,53,400,-102,-519,167,280,111,-37,-72,-110,0,984,-1215,165,1487,-169,379,167,-93,-453,-273,518,-1592,-1404,15,-589,-645,0,-374,207
New York,2011,704,5184,-1059,367,132,-274,-4892,-2017,1389,-29944,-3870,-3244,15,502,-320,-1433,58,240,135,326,-4185,-4785,-2151,-592,37,-1487,-31,35,269,1501,635,-984,0,-8985,110,-3593,-433,133,-2840,-1383,-4370,106,-2261,-17004,-1164,159,-1655,-1526,-1386,-335,575
North Carolina,2011,2723,3521,1738,-1337,6665,-837,946,566,-581,4061,-2946,-501,412,1914,190,-1106,3772,-2279,802,-615,3799,5089,4125,449,790,-1031,-610,227,-285,781,7892,1215,8985,0,-711,5615,68,76,-1804,185,-2675,399,-3296,-8335,-692,-38,4549,-575,-1085,171,-242
North Dakota,2011,-187,393,154,35,-36,-1020,0,84,-285,-55,163,106,8,466,60,-396,-304,-117,145,31,10,308,169,4670,80,-647,867,-74,845,-47,122,-165,-110,711,0,82,-869,-49,457,0,-270,-767,63,1053,427,0,-296,215,0,15,-98
Ohio,2011,-1029,1318,2081,1778,-1442,-2837,-194,-401,281,-1699,-2573,74,52,-1357,479,153,-959,-6873,-769,-483,1586,344,3106,-173,-300,-1237,-220,908,497,1744,2815,-1487,3593,-5615,-82,0,725,377,1217,309,-2501,-50,524,-328,-1893,-315,-4145,-707,-997,1176,1258
Oklahoma,2011,-382,521,551,3133,3120,-551,-120,39,191,3456,1882,-545,-267,1177,1269,48,-396,142,-2301,246,-413,70,121,-49,-367,-292,707,724,447,0,-382,169,433,-68,869,-725,0,-1117,833,152,1007,560,-1466,12293,437,0,160,481,-53,824,1301
Oregon,2011,589,-226,3298,356,16049,-3433,832,251,298,69,1219,461,-934,558,866,-152,978,-388,-1531,-202,177,1245,1005,-387,-67,395,-880,-1232,5531,229,962,-379,-133,-76,49,-377,1117,0,-187,-57,-463,402,-53,755,1406,52,-2320,-7306,-66,-143,-46
Pennsylvania,2011,257,381,-1158,15,2122,-857,482,-3394,-188,-1522,-1164,-375,-107,890,88,788,829,2523,160,-307,3593,-254,1542,-17,-1330,-49,-502,330,487,311,16400,-167,2840,1804,-457,-1217,-833,187,0,-326,-85,85,382,-2101,-250,57,-3590,1392,426,1132,-89
Rhode Island,2011,0,0,142,0,846,-134,1125,-131,-50,-2772,139,-58,107,95,-8,17,194,-429,-147,-6,275,-2467,-207,27,-41,-250,0,0,-86,333,761,93,1383,-185,0,-309,-152,57,326,0,-230,-7,196,-1090,181,220,-1412,-201,-85,-366,10
South Carolina,2011,963,2235,197,1098,834,282,755,688,232,3523,-559,-969,0,789,-57,1207,783,1067,-695,65,925,-891,2298,24,1765,1255,838,-39,852,-216,2655,453,4370,2675,270,2501,-1007,463,85,230,0,-467,-2207,4548,-128,70,1267,991,-177,-36,413
South Dakota,2011,-90,253,-235,659,282,-319,0,0,-104,-615,-467,0,-656,-1051,50,1930,40,211,-37,-42,254,69,-332,37,123,-7,5,-1304,-478,-86,441,273,-106,-399,767,50,-560,-402,-85,7,467,0,-181,-330,432,0,-829,330,0,-109,267
Tennessee,2011,616,143,-334,931,-1631,-1821,27,-66,-114,5040,609,-457,-296,5370,1766,-236,739,-2968,-594,-385,-807,1319,2877,-429,1489,1119,-223,405,787,6,-16,-518,2261,3296,-63,-524,1466,53,-382,-196,2207,181,0,-3779,-349,-289,-1384,510,839,469,62
Texas,2011,774,4178,7385,1694,21905,-3264,1713,1,1193,10245,1641,3099,3076,4053,3939,902,6191,1955,-4779,-280,5824,-168,5719,4629,805,3180,-792,-1506,544,-146,3777,1592,17004,8335,-1053,328,-12293,-755,2101,1090,-4548,330,3779,0,727,164,1576,-166,-911,3998,1102
Utah,2011,186,1489,-3992,422,9293,130,164,-475,57,-700,259,661,1479,496,422,-1192,950,471,315,-182,119,411,457,20,-189,-1186,9,-539,950,-124,250,1404,1164,692,-427,1893,-437,-1406,250,-181,128,-432,349,-727,0,-60,987,36,156,-732,-1082
Vermont,2011,-66,512,310,0,74,-385,1497,107,-418,-1653,-260,143,0,337,-272,-38,7,476,-46,-290,321,132,335,29,0,-19,-53,0,15,106,962,-15,-159,38,0,315,0,-52,-57,-220,-70,0,289,-164,60,0,567,37,30,-205,34
Virginia,2011,-5,1714,2446,-600,3618,-1373,2821,-103,-1121,1159,-723,394,-471,-1233,1217,783,-1094,-1524,441,2285,-38,2402,4996,-200,229,-407,339,-359,-23,464,2869,589,1655,-4549,296,4145,-160,2320,3590,1412,-1267,829,1384,-1576,-987,-567,0,382,3480,-1715,-261
Washington,2011,-800,718,-1543,-721,1940,-1586,-1229,-482,-118,-245,5004,2150,1904,-1013,1275,144,2048,150,-59,1225,374,-93,2290,130,824,789,-1710,-162,245,396,-448,645,1526,575,-215,707,-481,7306,-1392,201,-991,-330,-510,166,-36,-37,-382,0,74,-64,-296
West Virginia,2011,156,509,-20,201,610,-288,548,-109,180,-2015,-44,-165,120,979,-6,-115,0,-659,216,2,5488,-675,42,-92,-303,113,46,54,293,160,179,0,1386,1085,0,997,53,66,-426,85,177,0,-839,911,-156,-30,-3480,-74,0,-1048,0
