Current State,Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Maine,2006,-224,101,-1266,38,-1165,-315,2151,-283,-113,-1031,-1269,-328,-83,-258,351,-179,-134,-461,250,0,-86,2669,486,107,84,-75,0,-22,-70,2134,738,-54,-199,-509,30,1523,14,39,-225,438,-568,41,-248,1292,-374,-1055,42,-381,95,-132,74
Maryland,2006,747,66,-1259,-225,54,-362,2320,-2443,11444,-6375,-2934,1168,45,-281,-211,-392,-273,-2020,1711,86,0,640,2553,-200,650,691,0,-235,308,1202,4906,-57,6545,-9456,-20,-773,-1967,-34,-8498,86,-1564,-2,-1242,2139,1141,-746,574,-1013,-2423,316,-379
Massachusetts,2006,-33,791,-420,-448,-2241,-1240,1229,-197,275,-17503,-2908,-190,186,1903,725,372,-277,-352,1327,-2669,-640,0,-178,125,39,263,-34,329,-308,-6400,791,-307,1766,-1755,60,-2463,186,27,-1301,-106,-221,54,22,-2475,-512,-660,-1262,-149,195,621,105
Michigan,2006,-1947,1017,-7820,-648,-1070,-719,-199,-115,-567,-17245,-1449,306,20,-2117,-6736,-1058,1392,-1368,-297,-486,-2553,178,0,25,-423,-1548,-68,507,-1296,95,1373,-341,1530,-3011,-546,-3176,-172,-951,-455,70,-1350,-588,181,-275,-918,400,-2306,-1992,-523,-1503,-581
Minnesota,2006,-84,25,-2874,-1672,4350,-1087,766,37,19,29,-1517,-14,-655,4778,1609,-2051,90,-292,1610,-107,200,-125,-25,0,119,720,70,-1727,1419,-128,-159,-331,556,-222,-1602,965,-763,-1995,475,392,-899,376,487,-4508,-105,206,-37,-2352,-51,-1998,-2
Mississippi,2006,-5401,-319,-409,-259,-1913,-753,149,-362,-291,-9074,-2254,-73,-483,705,464,-524,-325,-526,8076,-84,-650,-39,423,-119,0,-1046,0,-574,-219,-427,320,-253,1188,14,-552,40,-217,324,-448,156,-180,60,-654,-7633,97,-225,-284,100,-505,1331,-174
Missouri,2006,-165,913,1470,-2698,6644,1074,-209,-239,210,337,-1304,812,-250,1257,-2205,409,-8851,-2145,2302,75,-691,-263,1548,-720,1046,0,-144,1549,118,-285,1064,1098,1528,-86,-78,1597,-119,122,125,0,187,84,-692,-784,592,37,-1395,-1264,-180,473,-111
Montana,2006,588,-448,-742,-130,1586,-72,260,400,60,1133,-867,397,-2247,469,-147,220,-570,26,-65,0,0,34,68,-70,0,144,0,-93,236,-222,500,515,479,200,-361,715,-637,-549,235,0,-87,811,-361,-662,-590,80,136,2387,70,605,1400
Nebraska,2006,58,-573,-753,-189,2666,-468,-487,23,178,794,-645,178,851,-390,-253,-2204,679,156,266,22,235,-329,-507,1727,574,-1549,93,0,-208,0,-367,-757,311,-152,339,-165,-1318,-290,-347,95,-248,-327,451,-1090,241,0,-580,-137,377,336,577
Nevada,2006,79,325,-3877,128,30956,4281,891,130,111,596,-371,2482,-468,1594,1369,182,-111,-417,893,70,-308,308,1296,-1419,219,-118,-236,208,0,19,1503,638,1285,-411,32,1576,-945,-2824,589,36,-480,-75,-1067,-734,1284,263,1198,25,-229,791,12
